,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,season,year_1955,median_price,buy,price_sell,best_scenario,worst_scenario
4656,2313900740,2014-11-19,425000.0,3,1.0,1180,3750,1.0,0,0,3,6,1030,150,1940,0,98116,47.5726,-122.382,1280,3750,2014,11,fall,0,450000.0,1,510000.0,552500.0,488749.99999999994
4662,3876312490,2015-04-14,435000.0,4,2.25,1910,8400,2.0,0,0,3,7,1910,0,1975,0,98072,47.7352,-122.175,1910,8400,2015,4,spring,1,450000.0,1,522000.0,565500.0,500249.99999999994
4663,1591600044,2014-10-10,409000.0,4,3.25,3140,10752,2.0,0,0,3,7,2300,840,1992,0,98146,47.5022,-122.363,1300,9920,2014,10,fall,1,450000.0,1,490800.0,531700.0,470349.99999999994
4664,7201800090,2015-01-06,405000.0,3,1.0,1250,7280,1.0,0,0,3,7,1250,0,1975,0,98052,47.6986,-122.129,1690,7280,2015,1,winter,1,450000.0,1,486000.0,526500.0,465749.99999999994
4666,2473410690,2014-06-23,324000.0,4,1.75,2110,7208,1.0,0,0,3,8,1170,940,1975,0,98058,47.4464,-122.129,1820,7208,2014,6,sumer,1,450000.0,1,388800.0,421200.0,372600.0
4667,7300410110,2014-05-19,390000.0,4,2.5,2490,8290,2.0,0,0,3,9,2490,0,1999,0,98092,47.3305,-122.171,2690,7008,2014,5,winter,1,450000.0,1,468000.0,507000.0,448499.99999999994
4668,7224500090,2015-04-07,414000.0,2,1.0,800,5000,1.0,0,0,3,6,800,0,1938,0,98055,47.4914,-122.204,1220,5000,2015,4,spring,0,450000.0,1,496800.0,538200.0,476099.99999999994
4669,7852000110,2014-09-03,441500.0,3,2.5,2360,4670,2.0,0,0,3,7,2360,0,1998,0,98065,47.537,-121.871,2420,5620,2014,9,fall,1,450000.0,1,529800.0,573950.0,507724.99999999994
4670,4302200590,2015-03-09,375000.0,3,2.5,1770,5146,2.0,0,0,3,7,1770,0,1992,0,98106,47.5263,-122.356,1230,5160,2015,3,spring,1,450000.0,1,450000.0,487500.0,431249.99999999994
4684,9268200600,2014-05-19,413500.0,2,1.0,770,4000,1.0,0,0,5,5,770,0,1924,0,98117,47.6959,-122.364,1420,5040,2014,5,winter,0,526000.0,1,496200.0,537550.0,475524.99999999994
4687,7226000110,2014-07-26,205000.0,2,1.0,900,4397,1.0,0,0,3,6,900,0,1918,0,98055,47.4851,-122.205,1430,4500,2014,7,sumer,0,450000.0,1,246000.0,266500.0,235749.99999999997
4691,3295900490,2014-07-29,423000.0,4,2.5,2320,4254,2.0,0,0,3,8,2320,0,2004,0,98059,47.48,-122.137,2330,4602,2014,7,sumer,1,450000.0,1,507600.0,549900.0,486449.99999999994
4692,7379700051,2015-04-10,375000.0,3,1.75,1590,14766,1.0,0,0,3,8,1590,0,1963,0,98007,47.5902,-122.147,2040,10190,2015,4,spring,1,450000.0,1,450000.0,487500.0,431249.99999999994
4693,7348200195,2014-12-09,173250.0,3,1.0,990,12696,1.5,0,0,3,7,990,0,1936,0,98168,47.4776,-122.279,1260,8937,2014,12,winter,0,450000.0,1,207900.0,225225.0,199237.49999999997
4698,2695600375,2014-11-10,354000.0,2,1.0,850,5225,1.0,0,0,3,7,850,0,1949,0,98126,47.5311,-122.38,1230,5225,2014,11,fall,0,450000.0,1,424800.0,460200.0,407099.99999999994
4702,4013800131,2014-08-07,267500.0,2,1.0,1747,12250,2.5,0,0,4,6,1747,0,1948,0,98001,47.3282,-122.285,1620,10300,2014,8,winter,0,440000.0,1,321000.0,347750.0,307625.0
4703,1787270090,2015-02-25,299800.0,4,2.5,2410,4708,2.0,0,0,3,8,2410,0,2002,0,98092,47.3229,-122.182,2517,5290,2015,2,winter,1,450000.0,1,359760.0,389740.0,344770.0
4704,4037200735,2015-04-14,430000.0,4,1.75,2070,9120,1.0,0,0,4,7,1250,820,1958,0,98008,47.6045,-122.123,1650,8400,2015,4,spring,1,440000.0,1,516000.0,559000.0,494499.99999999994
4706,4319200820,2015-01-22,333000.0,3,1.0,950,5214,1.0,0,0,3,7,830,120,1944,0,98126,47.5362,-122.379,1490,7636,2015,1,winter,0,450000.0,1,399600.0,432900.0,382949.99999999994
4707,7663700551,2015-04-07,336000.0,3,2.0,1060,11765,1.0,0,0,4,6,1060,0,1951,0,98125,47.7333,-122.302,1500,9151,2015,4,spring,0,440000.0,1,403200.0,436800.0,386399.99999999994
4708,6821102350,2015-01-09,323000.0,2,1.0,880,1712,2.0,0,0,4,7,880,0,1945,0,98199,47.6475,-122.397,1360,1748,2015,1,winter,0,440000.0,1,387600.0,419900.0,371450.0
4710,8165500110,2014-12-05,328000.0,2,2.25,1550,2079,2.0,0,0,3,8,1550,0,2008,0,98106,47.54,-122.368,1420,1977,2014,12,winter,1,450000.0,1,393600.0,426400.0,377199.99999999994
4713,5104512070,2015-04-20,412000.0,4,3.0,2430,7242,2.0,0,0,3,8,2430,0,2003,0,98038,47.3533,-122.015,2430,7242,2015,4,spring,1,450000.0,1,494400.0,535600.0,473799.99999999994
4715,3021049140,2015-03-25,300000.0,4,2.5,2890,17349,2.0,0,0,3,8,2890,0,1994,0,98023,47.2822,-122.34,2330,22356,2015,3,spring,1,450000.0,1,360000.0,390000.0,345000.0
4716,5249801720,2014-11-13,415000.0,3,2.5,1280,5040,2.0,0,0,4,7,1280,0,1985,0,98118,47.5611,-122.276,1500,5040,2014,11,fall,1,440000.0,1,498000.0,539500.0,477249.99999999994
4719,2724049146,2015-03-17,420000.0,3,1.0,1060,6000,1.0,0,0,3,8,1060,0,1954,0,98118,47.5427,-122.275,1240,7874,2015,3,spring,0,450000.0,1,504000.0,546000.0,482999.99999999994
4720,8074200100,2014-10-15,266000.0,3,1.5,1120,8250,1.0,0,0,4,7,1120,0,1957,0,98056,47.4905,-122.179,1320,8400,2014,10,fall,1,440000.0,1,319200.0,345800.0,305900.0
4722,2391602250,2014-06-26,440000.0,4,1.5,1770,5750,2.0,0,0,3,7,1770,0,1947,0,98116,47.5621,-122.394,970,5750,2014,6,sumer,0,450000.0,1,528000.0,572000.0,505999.99999999994
4725,3303230110,2014-08-04,424000.0,3,1.75,1430,6818,1.0,0,0,5,7,1430,0,1972,0,98034,47.7271,-122.196,1480,7210,2014,8,winter,1,526000.0,1,508800.0,551200.0,487599.99999999994
4728,2522059112,2014-05-07,248500.0,4,1.75,1720,10018,1.0,0,0,5,7,1720,0,1960,0,98042,47.3614,-122.119,1220,10018,2014,5,winter,1,526000.0,1,298200.0,323050.0,285775.0
4729,3205100110,2015-04-21,379600.0,3,1.75,1270,12420,1.0,0,0,4,7,1270,0,1962,0,98056,47.5387,-122.179,1560,9910,2015,4,spring,1,440000.0,1,455520.0,493480.0,436539.99999999994
4735,6917700356,2014-05-14,405100.0,2,1.0,840,3522,1.0,0,0,3,6,840,0,1947,0,98199,47.6575,-122.395,1390,4800,2014,5,winter,0,450000.0,1,486120.0,526630.0,465864.99999999994
4737,3629920300,2014-11-03,425000.0,3,2.25,1260,3000,2.0,0,0,3,7,1260,0,2003,0,98029,47.5454,-121.997,1630,3042,2014,11,fall,1,450000.0,1,510000.0,552500.0,488749.99999999994
4738,8944290090,2014-06-23,233500.0,3,2.25,1650,2958,2.0,0,0,3,7,1650,0,1985,0,98031,47.3916,-122.167,1510,3788,2014,6,sumer,1,450000.0,1,280200.0,303550.0,268525.0
4739,8091410930,2015-03-23,287000.0,3,2.5,1710,10341,2.0,0,2,3,7,1710,0,1986,0,98030,47.3494,-122.171,1830,9358,2015,3,spring,1,450000.0,1,344400.0,373100.0,330050.0
4740,3313600266,2015-02-13,190000.0,3,1.0,1180,8775,1.0,0,0,3,7,1180,0,1966,0,98002,47.2848,-122.223,1300,8100,2015,2,winter,1,450000.0,1,228000.0,247000.0,218499.99999999997
4742,3330501545,2014-12-01,330000.0,2,1.0,950,3090,1.0,0,0,4,6,950,0,1909,0,98118,47.551,-122.276,1230,4120,2014,12,winter,0,440000.0,1,396000.0,429000.0,379499.99999999994
4744,4123810090,2014-09-09,393000.0,3,2.25,2140,10256,2.0,0,0,3,8,2140,0,1987,0,98038,47.3751,-122.044,2040,11717,2014,9,fall,1,450000.0,1,471600.0,510900.0,451949.99999999994
4745,1180500100,2014-09-24,353000.0,4,2.75,1920,4627,1.0,0,0,3,8,1010,910,1998,0,98178,47.5003,-122.23,1910,7210,2014,9,fall,1,450000.0,1,423600.0,458900.0,405949.99999999994
4746,7549801140,2014-10-20,260000.0,2,1.0,750,6720,1.0,0,0,3,6,750,0,1916,0,98108,47.552,-122.31,920,6720,2014,10,fall,0,450000.0,1,312000.0,338000.0,299000.0
4749,5101407305,2014-12-18,319000.0,2,1.0,750,6380,1.0,0,0,3,7,750,0,1949,0,98125,47.7033,-122.308,1690,6495,2014,12,winter,0,450000.0,1,382800.0,414700.0,366850.0
4751,7454001280,2014-06-11,220000.0,3,1.0,1050,6300,1.0,0,0,3,6,1050,0,1942,0,98146,47.5128,-122.374,740,6300,2014,6,sumer,0,450000.0,1,264000.0,286000.0,252999.99999999997
4752,8651440740,2015-01-21,219000.0,3,1.5,1740,5200,1.0,0,0,4,7,1060,680,1977,0,98042,47.3657,-122.094,1540,5200,2015,1,winter,1,440000.0,1,262800.0,284700.0,251849.99999999997
4754,4292300010,2014-05-27,405000.0,3,1.75,1980,8100,1.0,0,0,4,7,1310,670,1949,0,98133,47.7353,-122.331,1450,8212,2014,5,winter,0,440000.0,1,486000.0,526500.0,465749.99999999994
4755,8929000290,2014-05-14,372977.0,3,2.5,1690,1618,2.0,0,0,3,8,1150,540,2014,0,98029,47.5518,-121.998,1690,1618,2014,5,winter,1,450000.0,1,447572.39999999997,484870.10000000003,428923.55
4763,3816300095,2014-05-14,310000.0,3,1.0,1050,9876,1.0,0,0,3,7,1050,0,1953,0,98028,47.7635,-122.262,1760,9403,2014,5,winter,0,450000.0,1,372000.0,403000.0,356500.0
4764,7399301100,2014-12-04,315000.0,3,1.75,1480,6800,1.0,0,0,4,7,1480,0,1968,0,98055,47.4633,-122.188,1500,7900,2014,12,winter,1,440000.0,1,378000.0,409500.0,362250.0
4768,4045500130,2014-09-09,154000.0,2,1.0,1040,20524,1.0,0,3,3,6,1040,0,1949,1989,98014,47.6981,-121.875,1880,38996,2014,9,fall,0,450000.0,1,184800.0,200200.0,177100.0
4770,7686202580,2015-02-13,196900.0,3,1.0,1270,7500,1.0,0,0,3,6,1270,0,1954,0,98198,47.4214,-122.316,1250,8000,2015,2,winter,0,450000.0,1,236280.0,255970.0,226434.99999999997
4772,3876540630,2015-02-27,205500.0,3,2.0,1330,8748,1.0,0,0,3,7,1330,0,1986,0,98003,47.2619,-122.298,1510,8584,2015,2,winter,1,450000.0,1,246600.0,267150.0,236324.99999999997
4773,8929000170,2014-06-16,357186.0,2,1.75,1210,1040,2.0,0,0,3,8,1210,0,2014,0,98029,47.5519,-121.999,1210,1090,2014,6,sumer,1,450000.0,1,428623.2,464341.8,410763.89999999997
4774,2621400080,2015-01-28,275000.0,4,2.5,2120,6754,2.0,0,0,3,7,2120,0,1998,0,98030,47.3629,-122.184,2120,6937,2015,1,winter,1,450000.0,1,330000.0,357500.0,316250.0
4775,8154100020,2014-09-06,248500.0,3,1.75,2090,12026,1.0,0,0,4,7,2090,0,1948,0,98002,47.3095,-122.217,1700,9496,2014,9,fall,0,440000.0,1,298200.0,323050.0,285775.0
4776,8097000190,2014-06-02,350000.0,3,2.5,2680,7836,2.0,0,0,3,8,2680,0,1990,2009,98092,47.3203,-122.185,2340,8040,2014,6,sumer,1,450000.0,1,420000.0,455000.0,402499.99999999994
4777,2624089181,2014-08-12,390000.0,4,2.75,1790,47250,1.0,0,0,3,7,1220,570,1987,0,98045,47.5302,-121.746,1250,43791,2014,8,winter,1,450000.0,1,468000.0,507000.0,448499.99999999994
4778,8718500275,2014-07-15,390000.0,3,2.75,1950,12240,1.0,0,0,3,7,1250,700,1956,0,98028,47.7401,-122.258,1880,12000,2014,7,sumer,1,450000.0,1,468000.0,507000.0,448499.99999999994
4780,411100020,2014-11-17,310000.0,3,1.75,1140,8263,1.0,0,0,5,7,1140,0,1950,0,98155,47.7407,-122.327,1140,6770,2014,11,fall,0,526000.0,1,372000.0,403000.0,356500.0
4782,2011400019,2014-12-30,260000.0,5,2.5,2580,11250,1.0,0,0,3,7,1410,1170,1964,0,98198,47.397,-122.313,2240,11780,2014,12,winter,1,450000.0,1,312000.0,338000.0,299000.0
4785,5104650020,2015-05-05,429000.0,3,2.5,2530,8820,2.0,0,0,3,8,2530,0,1997,0,98031,47.42,-122.205,2340,9472,2015,5,winter,1,450000.0,1,514800.0,557700.0,493349.99999999994
4786,7417700664,2015-04-08,220000.0,4,2.0,1400,7140,1.0,0,0,3,7,1400,0,1969,0,98155,47.7719,-122.309,1610,10500,2015,4,spring,1,450000.0,1,264000.0,286000.0,252999.99999999997
4789,3024079069,2014-09-11,371000.0,4,1.0,1960,94525,1.5,0,0,3,6,1960,0,1979,0,98027,47.5418,-121.962,2430,188564,2014,9,fall,1,450000.0,1,445200.0,482300.0,426649.99999999994
4790,723069049,2014-07-24,379000.0,5,2.75,3000,25175,1.0,0,0,4,7,1500,1500,1961,0,98027,47.497,-122.088,2170,40523,2014,7,sumer,1,440000.0,1,454800.0,492700.0,435849.99999999994
4794,5412400170,2015-04-14,259000.0,3,2.0,1390,7120,1.0,0,0,3,7,1390,0,1988,0,98030,47.3786,-122.179,1530,7688,2015,4,spring,1,450000.0,1,310800.0,336700.0,297850.0
4797,5145000190,2014-11-03,369950.0,3,1.0,1110,7603,1.0,0,0,3,7,1110,0,1967,0,98034,47.7262,-122.224,1260,8094,2014,11,fall,1,450000.0,1,443940.0,480935.0,425442.49999999994
4798,6679000170,2015-04-14,310000.0,3,2.5,1670,4220,2.0,0,0,3,7,1670,0,2002,0,98038,47.3834,-122.028,1670,4238,2015,4,spring,1,450000.0,1,372000.0,403000.0,356500.0
4799,9536601045,2015-04-28,227500.0,3,1.0,1540,9450,1.0,0,0,4,7,1540,0,1960,0,98198,47.3612,-122.315,1210,9450,2015,4,spring,1,440000.0,1,273000.0,295750.0,261624.99999999997
4800,8731981410,2014-11-21,274000.0,4,2.25,2090,7400,1.0,0,0,3,9,1670,420,1973,0,98023,47.3178,-122.38,2260,8000,2014,11,fall,1,450000.0,1,328800.0,356200.0,315100.0
4801,3574801350,2014-11-20,410000.0,3,2.0,1410,8088,1.0,0,0,3,7,1410,0,1987,0,98034,47.7303,-122.227,1770,7401,2014,11,fall,1,450000.0,1,492000.0,533000.0,471499.99999999994
4802,1922069099,2014-05-23,354800.0,3,2.0,1370,78408,1.0,0,0,5,7,1370,0,1964,0,98042,47.3867,-122.081,1620,9690,2014,5,winter,1,526000.0,1,425760.0,461240.0,408019.99999999994
4804,2022059308,2015-05-05,353000.0,3,2.0,1678,13862,1.0,0,0,3,7,1678,0,1994,0,98030,47.3744,-122.19,1550,11753,2015,5,winter,1,450000.0,1,423600.0,458900.0,405949.99999999994
4805,2525300480,2015-03-04,224975.0,3,1.0,960,12745,1.0,0,0,4,6,960,0,1977,0,98038,47.3617,-122.03,1160,10488,2015,3,spring,1,440000.0,1,269970.0,292467.5,258721.24999999997
4807,2558660290,2015-02-18,437500.0,3,2.25,1790,7700,1.0,0,0,4,7,1340,450,1976,0,98034,47.7205,-122.168,1610,7350,2015,2,winter,1,440000.0,1,525000.0,568750.0,503124.99999999994
4809,8643000225,2015-05-06,225000.0,5,1.5,1790,11656,2.0,0,0,3,7,1790,0,1963,0,98198,47.3961,-122.308,2040,9790,2015,5,winter,1,450000.0,1,270000.0,292500.0,258749.99999999997
4810,1105000233,2014-09-06,255000.0,2,1.0,940,9330,1.0,0,0,3,6,940,0,1941,0,98118,47.5445,-122.273,1900,6145,2014,9,fall,0,450000.0,1,306000.0,331500.0,293250.0
4812,945000250,2014-06-13,370000.0,2,1.0,900,4600,1.0,0,0,3,6,900,0,1951,0,98117,47.6918,-122.361,1060,4600,2014,6,sumer,0,450000.0,1,444000.0,481000.0,425499.99999999994
4814,1571100130,2014-09-04,285000.0,3,1.0,1440,4268,1.0,0,0,3,7,1040,400,1953,0,98108,47.5468,-122.293,1370,4268,2014,9,fall,0,450000.0,1,342000.0,370500.0,327750.0
4815,7932000078,2014-05-07,310000.0,3,1.75,2070,37904,1.0,0,0,4,7,1420,650,1973,0,98058,47.425,-122.186,2011,19110,2014,5,winter,1,440000.0,1,372000.0,403000.0,356500.0
4817,2517010630,2015-05-08,410000.0,4,2.5,3320,5034,2.0,0,0,4,7,3320,0,2006,0,98042,47.4011,-122.164,2580,4950,2015,5,winter,1,440000.0,1,492000.0,533000.0,471499.99999999994
4819,8820902905,2014-08-22,375000.0,3,1.5,1240,7733,1.0,0,0,3,6,790,450,1941,0,98125,47.714,-122.283,1130,7733,2014,8,winter,0,450000.0,1,450000.0,487500.0,431249.99999999994
4820,5104510190,2015-04-27,349000.0,4,2.5,1830,4694,2.0,0,0,3,7,1830,0,2003,0,98038,47.3573,-122.016,1830,5175,2015,4,spring,1,450000.0,1,418800.0,453700.0,401349.99999999994
4825,2741100280,2014-05-13,415000.0,3,1.75,1960,5000,1.0,0,0,5,6,980,980,1911,0,98108,47.5576,-122.317,1790,5000,2014,5,winter,0,526000.0,1,498000.0,539500.0,477249.99999999994
4826,2891000680,2015-04-27,195000.0,3,1.75,1070,6110,1.0,0,0,4,7,1070,0,1968,0,98002,47.3249,-122.207,1350,6148,2015,4,spring,1,440000.0,1,234000.0,253500.0,224249.99999999997
4827,7366100080,2014-07-31,318000.0,5,2.5,2820,9956,1.0,0,0,4,7,1410,1410,1967,0,98168,47.4715,-122.33,2700,9956,2014,7,sumer,1,440000.0,1,381600.0,413400.0,365700.0
4828,3211270170,2014-05-23,404000.0,4,3.0,4060,35621,1.0,0,0,3,9,2030,2030,1989,0,98092,47.3059,-122.108,2950,35259,2014,5,winter,1,450000.0,1,484800.0,525200.0,464599.99999999994
4829,3330500920,2014-10-30,339950.0,2,1.0,800,3090,1.0,0,0,4,6,800,0,1925,0,98118,47.5518,-122.277,1400,3090,2014,10,fall,0,440000.0,1,407940.0,441935.0,390942.49999999994
4830,5437820080,2014-11-24,215000.0,3,1.0,1260,7897,1.0,0,0,3,7,1260,0,1979,0,98022,47.1946,-122.003,1560,8285,2014,11,fall,1,450000.0,1,258000.0,279500.0,247249.99999999997
4831,8097000380,2014-08-18,339900.0,3,2.5,2420,7423,2.0,0,0,3,8,2420,0,1990,0,98092,47.3199,-122.186,2260,7629,2014,8,winter,1,450000.0,1,407880.0,441870.0,390884.99999999994
4832,2591010290,2014-05-19,285000.0,1,1.5,810,3211,2.0,0,0,4,7,810,0,1982,0,98033,47.6939,-122.184,1320,3298,2014,5,winter,1,440000.0,1,342000.0,370500.0,327750.0
4834,3226049478,2014-07-25,430000.0,4,1.0,1350,9000,1.5,0,0,4,7,1350,0,1964,0,98103,47.6953,-122.332,1940,8000,2014,7,sumer,1,440000.0,1,516000.0,559000.0,494499.99999999994
4835,7941500170,2014-12-02,219000.0,3,1.0,970,7790,1.0,0,0,3,6,970,0,1967,0,98003,47.3165,-122.325,1150,8160,2014,12,winter,1,450000.0,1,262800.0,284700.0,251849.99999999997
4837,1545801630,2014-07-21,233000.0,3,2.0,1350,7686,1.0,0,0,3,7,1350,0,1989,0,98038,47.3609,-122.053,1470,7686,2014,7,sumer,1,450000.0,1,279600.0,302900.0,267950.0
4838,5151600480,2015-04-02,248000.0,3,1.75,1840,19501,1.0,0,0,4,8,1270,570,1972,0,98003,47.3364,-122.318,1910,12000,2015,4,spring,1,440000.0,1,297600.0,322400.0,285200.0
4841,8899210680,2014-09-15,359000.0,3,2.5,2430,7857,2.0,0,0,5,8,1730,700,1980,0,98055,47.4546,-122.211,2160,8740,2014,9,fall,1,526000.0,1,430800.0,466700.0,412849.99999999994
4842,6649300190,2014-09-03,407500.0,5,2.0,2740,8230,1.5,0,0,3,7,2210,530,1962,0,98155,47.7352,-122.297,2130,8232,2014,9,fall,1,450000.0,1,489000.0,529750.0,468624.99999999994
4843,1312200080,2014-05-28,224000.0,3,1.5,1560,7300,1.0,0,0,4,7,1040,520,1964,0,98001,47.3427,-122.281,1460,7910,2014,5,winter,1,440000.0,1,268800.0,291200.0,257599.99999999997
4844,1721801025,2014-07-18,210000.0,2,1.0,1040,4590,1.0,0,0,3,7,1040,0,1954,0,98146,47.5078,-122.337,1040,6120,2014,7,sumer,0,450000.0,1,252000.0,273000.0,241499.99999999997
4845,7942200050,2015-01-23,261000.0,4,1.75,1820,9824,1.0,0,0,5,7,1820,0,1968,0,98042,47.3833,-122.093,1410,11013,2015,1,winter,1,526000.0,1,313200.0,339300.0,300150.0
4847,9297301495,2015-02-03,440000.0,3,2.5,2160,3738,2.0,0,0,3,8,2160,0,1994,0,98126,47.5661,-122.375,1500,4000,2015,2,winter,1,450000.0,1,528000.0,572000.0,505999.99999999994
4849,9477100170,2014-07-21,375000.0,3,1.5,1370,9720,2.0,0,0,3,7,1370,0,1968,0,98034,47.7302,-122.197,1510,8775,2014,7,sumer,1,450000.0,1,450000.0,487500.0,431249.99999999994
4850,6705120280,2015-03-31,428000.0,2,2.5,1414,1960,2.0,0,0,3,8,1414,0,1986,0,98006,47.5423,-122.189,1414,2511,2015,3,spring,1,450000.0,1,513600.0,556400.0,492199.99999999994
4852,6858700225,2014-10-04,199950.0,3,1.75,1550,6225,1.0,0,0,4,7,1550,0,1949,0,98002,47.3098,-122.218,1760,9496,2014,10,fall,0,440000.0,1,239940.0,259935.0,229942.49999999997
4854,5702380500,2014-09-08,285000.0,3,1.75,1160,7006,1.0,0,0,4,7,1160,0,1992,0,98022,47.1937,-121.98,1670,7750,2014,9,fall,1,440000.0,1,342000.0,370500.0,327750.0
4855,6181430280,2014-09-15,330000.0,5,2.5,3597,4972,2.0,0,0,3,7,3597,0,2006,0,98001,47.3002,-122.282,3193,6000,2014,9,fall,1,450000.0,1,396000.0,429000.0,379499.99999999994
4856,7138000170,2015-01-02,147500.0,3,1.5,1230,10125,1.0,0,0,3,7,1230,0,1960,0,98198,47.397,-122.299,1970,10125,2015,1,winter,1,450000.0,1,177000.0,191750.0,169625.0
4857,6669010290,2014-11-07,320000.0,4,2.5,2190,7125,2.0,0,0,5,8,2190,0,1978,0,98032,47.3709,-122.285,2190,8075,2014,11,fall,1,526000.0,1,384000.0,416000.0,368000.0
4858,5706200280,2014-07-01,382500.0,3,1.75,1040,9000,1.0,0,0,4,7,1040,0,1967,0,98027,47.5253,-122.043,1750,10878,2014,7,sumer,1,440000.0,1,459000.0,497250.0,439874.99999999994
4861,109210280,2014-11-11,220000.0,4,2.25,1950,7280,2.0,0,0,4,8,1950,0,1979,0,98023,47.2957,-122.37,1910,7280,2014,11,fall,1,440000.0,1,264000.0,286000.0,252999.99999999997
4862,3216900080,2014-09-25,325000.0,3,2.5,1880,6818,2.0,0,0,3,8,1880,0,1993,0,98031,47.4206,-122.183,1970,7000,2014,9,fall,1,450000.0,1,390000.0,422500.0,373750.0
4864,5272200005,2015-02-18,175000.0,2,1.0,1160,6911,1.0,0,0,3,7,1160,0,1947,0,98125,47.7149,-122.318,1120,6948,2015,2,winter,0,450000.0,1,210000.0,227500.0,201249.99999999997
4865,7205000080,2014-12-01,268000.0,3,1.75,1370,10050,1.0,0,1,4,7,1370,0,1966,0,98023,47.3338,-122.341,1720,10050,2014,12,winter,1,440000.0,1,321600.0,348400.0,308200.0
4872,1524079093,2014-08-27,275000.0,3,1.75,1300,20700,1.0,0,0,3,7,1300,0,1962,0,98024,47.5587,-121.904,1930,37638,2014,8,winter,1,450000.0,1,330000.0,357500.0,316250.0
4873,1524079093,2015-03-18,369500.0,3,1.75,1300,20700,1.0,0,0,3,7,1300,0,1962,0,98024,47.5587,-121.904,1930,37638,2015,3,spring,1,450000.0,1,443400.0,480350.0,424924.99999999994
4874,3832710680,2014-07-21,215000.0,4,2.0,1540,7575,1.0,0,0,4,7,1040,500,1978,0,98032,47.3664,-122.279,1720,7575,2014,7,sumer,1,440000.0,1,258000.0,279500.0,247249.99999999997
4880,8856890020,2015-02-24,265000.0,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,1989,0,98058,47.4631,-122.126,1730,9686,2015,2,winter,1,450000.0,1,318000.0,344500.0,304750.0
4881,2115510470,2014-12-23,285000.0,4,2.25,1960,10400,1.0,0,0,4,8,1220,740,1985,0,98023,47.3199,-122.392,1650,8660,2014,12,winter,1,440000.0,1,342000.0,370500.0,327750.0
4882,1545803890,2014-12-31,240000.0,3,1.75,1590,7931,1.0,0,0,3,7,1190,400,1979,0,98038,47.3628,-122.05,1680,7931,2014,12,winter,1,450000.0,1,288000.0,312000.0,276000.0
4883,3322049126,2014-07-21,261000.0,4,1.0,1390,17739,1.0,0,0,3,7,1390,0,1958,0,98003,47.3457,-122.302,1230,7840,2014,7,sumer,1,450000.0,1,313200.0,339300.0,300150.0
4884,6669020500,2014-06-27,330000.0,4,1.75,2440,7350,1.0,0,0,3,8,1610,830,1978,0,98032,47.3743,-122.285,2180,7680,2014,6,sumer,1,450000.0,1,396000.0,429000.0,379499.99999999994
4885,3832710840,2014-06-02,250000.0,4,2.0,1850,7560,1.0,0,0,4,7,1540,310,1978,0,98032,47.3666,-122.277,1620,7658,2014,6,sumer,1,440000.0,1,300000.0,325000.0,287500.0
4886,7212651950,2014-07-10,350000.0,4,2.5,2800,9538,2.0,0,0,3,8,2800,0,1993,0,98003,47.2675,-122.307,1970,7750,2014,7,sumer,1,450000.0,1,420000.0,455000.0,402499.99999999994
4888,7140200380,2014-10-30,275000.0,3,2.0,1910,8050,1.0,0,0,4,7,1000,910,1980,0,98030,47.37,-122.17,1780,7344,2014,10,fall,1,440000.0,1,330000.0,357500.0,316250.0
4889,7972601235,2015-02-23,325000.0,4,2.25,2460,7620,1.0,0,0,3,7,1230,1230,1969,0,98106,47.5285,-122.345,2090,7620,2015,2,winter,1,450000.0,1,390000.0,422500.0,373750.0
4890,2848700585,2015-04-24,255000.0,1,1.0,810,5000,1.0,0,1,3,7,590,220,1936,0,98106,47.5696,-122.36,1920,5000,2015,4,spring,0,450000.0,1,306000.0,331500.0,293250.0
4893,2591830130,2014-05-04,365000.0,3,2.5,2200,7350,1.0,0,0,5,8,1570,630,1988,0,98058,47.4395,-122.161,2350,7557,2014,5,winter,1,526000.0,1,438000.0,474500.0,419749.99999999994
4894,1771100130,2015-03-16,332900.0,3,1.5,1190,11996,1.0,0,0,4,7,1190,0,1969,0,98077,47.7561,-122.071,1190,9756,2015,3,spring,1,440000.0,1,399480.0,432770.0,382834.99999999994
4897,5648600190,2015-04-29,310000.0,3,2.5,1670,5791,2.0,0,0,3,7,1670,0,1995,0,98055,47.4424,-122.188,1610,6034,2015,4,spring,1,450000.0,1,372000.0,403000.0,356500.0
4898,4154300275,2015-01-15,245000.0,2,1.0,990,4800,1.0,0,0,3,6,990,0,1908,0,98118,47.5615,-122.28,1700,5400,2015,1,winter,0,450000.0,1,294000.0,318500.0,281750.0
4899,5438000280,2015-04-15,325000.0,3,1.75,2920,10573,1.0,0,0,4,7,2920,0,1964,0,98055,47.4429,-122.195,1560,10572,2015,4,spring,1,440000.0,1,390000.0,422500.0,373750.0
4901,1604600660,2014-05-12,350000.0,2,1.0,910,4500,1.5,0,0,4,7,910,0,1906,0,98118,47.5633,-122.289,1270,3500,2014,5,winter,0,440000.0,1,420000.0,455000.0,402499.99999999994
